districtID,districtName,new_category,transaction_count,avg_external_gtv,avg_external_aov,category_diversity,latitude,longitude
482,Setia Budi,Alcoholic Beverages,1767,3147486406.6116886,42959.23892984368,18,-6.221966545053763,106.82505270879456
482,Setia Budi,Bakery and Pastries,889,1274061486.7425516,10590.783017266298,18,-6.223232198053994,106.82507444949381
482,Setia Budi,Breakfast and Egg Dishes,945,1411389557.7853007,23483.800924924413,18,-6.220309364349206,106.82526058136507
482,Setia Budi,Cakes and Desserts,248,3866424197.7009435,47440.81587517507,18,-6.223852278870968,106.82767122350806
482,Setia Budi,Chinese Food,40,3160521393.9753304,30180.32725275242,18,-6.2225608385,106.8256678635
482,Setia Budi,Coffee,3018,1728853750.535189,29088.06288653621,18,-6.222567021464546,106.82355439134194
482,Setia Budi,Comfort Food,2917,1797003052.2060988,38255.46315032002,18,-6.220621185430236,106.82451942991088
482,Setia Budi,Fried Food,681,1057441001.5398917,14554.384528420806,18,-6.220551487444934,106.82577365685758
482,Setia Budi,Indonesian Traditional Food,683,1108574102.3713703,19898.018905381487,18,-6.219994764304539,106.82744830963398
482,Setia Budi,Japanese Food,4370,5164276156.5120125,35168.606276319064,18,-6.224931846022883,106.82273236498627
482,Setia Budi,Non-Food Items/ Event,1589,2492135485.6035285,31257.244115829522,18,-6.2225195727942095,106.8251337554248
482,Setia Budi,Others,5348,1868027549.0981138,41259.00824311608,18,-6.222048133287211,106.82421002436237
482,Setia Budi,Seafood,1083,2232528194.336336,48626.158787017295,18,-6.220622542853185,106.82388333202216
482,Setia Budi,Set Meals and Combos,1044,2458417402.910499,27204.902551454943,18,-6.221643814118774,106.82443339216475
482,Setia Budi,Snacks and Appetizers,622,2566603477.556453,35401.879993533475,18,-6.222705679694534,106.82324171532154
482,Setia Budi,Steaks and BBQ,2480,2461017686.9787016,34412.52708774785,18,-6.222572283189516,106.82578960872983
482,Setia Budi,Tea and Beverages,8709,2318770619.840032,33612.085134986504,18,-6.222582043860375,106.82463243867953
482,Setia Budi,Thai Food,3000,1147335023.3073473,22318.70452927459,18,-6.220398345686666,106.82447500121333
483,Tebet,Alcoholic Beverages,924,5883997143.909623,33849.5969466666,18,-6.224526884664502,106.84290306961039
